               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 124,            0.022874,           0.0066266,                   0,             0.90617,             0.85551,             0.90055,             0.42175,             0.02472,            0.025979,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.022545,           0.0067013,                   0,             0.87799,             0.85932,             0.88341,             0.41173,            0.024426,             0.02597,                   0,            0.005908,            0.005908,            0.005908
                 126,             0.02257,           0.0069429,                   0,             0.89848,             0.86185,             0.89622,             0.42066,            0.024661,            0.025529,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.022906,           0.0067272,                   0,             0.88973,             0.85044,             0.89076,             0.41697,            0.024516,            0.026029,                   0,            0.005842,            0.005842,            0.005842
                 128,             0.02245,           0.0067521,                   0,             0.88351,             0.85551,              0.8906,             0.42302,            0.024578,            0.025879,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.022107,           0.0066811,                   0,             0.88492,             0.84792,              0.8745,              0.4182,            0.024632,            0.025966,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.022074,           0.0065554,                   0,             0.88429,             0.85236,              0.8909,             0.42274,            0.024388,            0.026122,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.022442,           0.0066696,                   0,             0.89289,             0.83471,              0.8763,             0.41034,            0.024525,             0.02627,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.022863,           0.0066449,                   0,             0.88836,             0.86946,             0.90312,              0.4234,            0.024602,            0.025502,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.022099,           0.0065292,                   0,             0.88431,             0.84282,             0.87796,             0.41639,            0.024613,            0.026062,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.022134,            0.006652,                   0,             0.89243,             0.83143,             0.89139,             0.41904,            0.024434,            0.025868,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.022146,            0.006575,                   0,             0.88916,             0.85403,             0.88719,             0.41662,            0.024657,            0.026034,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.022387,           0.0064996,                   0,             0.90426,              0.8403,             0.89562,             0.41339,            0.024686,            0.025748,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.021746,           0.0066413,                   0,              0.8905,             0.84517,             0.88399,             0.41231,            0.024852,            0.026392,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.021937,            0.006685,                   0,              0.8906,             0.83573,             0.88498,             0.41219,            0.024729,             0.02639,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.022163,           0.0065491,                   0,             0.86225,             0.86475,             0.88604,             0.41669,            0.024839,            0.026332,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.022194,           0.0065364,                   0,             0.85481,             0.87072,              0.8917,              0.4112,            0.025067,            0.026422,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.022072,           0.0066025,                   0,              0.8996,             0.86308,             0.89992,             0.41535,            0.025021,            0.026139,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.021972,           0.0065446,                   0,             0.90757,             0.85298,             0.90261,             0.42386,            0.024164,            0.025604,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.021548,           0.0065519,                   0,             0.89359,             0.85298,             0.89502,             0.41206,            0.024818,            0.025927,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.021416,           0.0064314,                   0,             0.89357,             0.85805,             0.89331,             0.41625,            0.024663,            0.026131,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.021197,           0.0064867,                   0,             0.89369,              0.8524,             0.89309,             0.42588,             0.02458,            0.026116,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.021711,           0.0066213,                   0,             0.90773,             0.84664,             0.89791,             0.41412,            0.024705,            0.026101,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.022016,           0.0064725,                   0,             0.90224,             0.83016,             0.89292,             0.40768,            0.024966,            0.026435,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.021686,           0.0063932,                   0,             0.87116,             0.86556,             0.89454,             0.41742,            0.024772,            0.025977,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.021675,           0.0065497,                   0,             0.89366,             0.85208,             0.89514,             0.41578,            0.024796,            0.026016,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.021378,           0.0065362,                   0,             0.89089,             0.84918,             0.88112,             0.41101,            0.024918,            0.025974,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.021679,           0.0064518,                   0,              0.8909,             0.85905,             0.89393,             0.42291,            0.024617,            0.025709,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.021519,           0.0064754,                   0,             0.89791,              0.8361,             0.88823,             0.41729,            0.024878,            0.026439,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.021245,           0.0063324,                   0,              0.9063,             0.85678,             0.90433,             0.42271,            0.024691,            0.025917,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.021211,           0.0064789,                   0,             0.89511,             0.86532,              0.9049,             0.43621,            0.024537,            0.025867,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.021032,           0.0063759,                   0,             0.88288,             0.86692,             0.89841,             0.42538,             0.02488,            0.026014,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.021351,           0.0064721,                   0,             0.89751,             0.86573,             0.89527,             0.42736,            0.024432,            0.025884,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.021213,           0.0064839,                   0,             0.92275,              0.8327,             0.90012,             0.42224,            0.024645,            0.026192,                   0,            0.004852,            0.004852,            0.004852
                 158,             0.02087,           0.0064473,                   0,              0.9036,             0.85298,             0.89923,             0.42358,            0.024557,            0.026072,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.020836,           0.0063856,                   0,             0.89381,             0.86407,             0.89288,             0.41674,             0.02465,            0.026138,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.020923,            0.006478,                   0,             0.88243,             0.86819,             0.89949,             0.41667,            0.024887,            0.026632,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.020704,           0.0063054,                   0,               0.909,             0.84411,              0.8945,             0.41528,            0.025113,            0.026597,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.021105,           0.0062355,                   0,             0.90044,              0.8251,             0.88361,             0.41545,            0.025147,            0.026236,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.021119,           0.0064895,                   0,             0.89701,             0.86099,             0.89833,             0.41109,            0.025288,            0.026336,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.020866,           0.0063484,                   0,             0.89453,             0.85171,             0.88956,             0.41594,             0.02473,            0.026218,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.020864,           0.0062858,                   0,             0.87446,             0.87326,             0.89067,             0.41926,            0.024952,            0.026446,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.020629,           0.0064094,                   0,             0.88784,             0.87579,              0.8913,             0.41581,             0.02474,            0.026509,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.020613,           0.0063019,                   0,             0.90529,             0.86185,             0.90078,             0.42241,            0.024955,            0.026364,                   0,            0.004522,            0.004522,            0.004522
                 168,            0.020506,            0.006388,                   0,             0.89197,             0.85932,             0.89629,              0.4195,            0.025268,            0.026433,                   0,            0.004489,            0.004489,            0.004489
                 169,            0.020387,           0.0063285,                   0,              0.8895,             0.86185,             0.89931,             0.41748,            0.025331,            0.026219,                   0,            0.004456,            0.004456,            0.004456
                 170,            0.020623,           0.0061904,                   0,             0.88033,             0.86713,             0.89435,             0.41412,            0.024824,            0.026544,                   0,            0.004423,            0.004423,            0.004423
                 171,            0.020226,           0.0062253,                   0,             0.91044,             0.84918,             0.90727,             0.42329,            0.024886,             0.02595,                   0,             0.00439,             0.00439,             0.00439
